*,price,name,picture,weight,color,dimensions,count,discount_percentage,description
1,8.5,Monitor brand 1,,22,indigo,11*41*5,5,59,35-Hour Playtime: X15 wireless earbuds playtime lasts for over 6 hours from single charge and total 35 hours with charging case.
2,20,Monitor brand 2,,75,orange,9*22*19,26,89,Immersive Sound with Punchy Bass: X15 Wireless headphones adopts unique stereo design and 13mm big composite diaphragms to produce powerful sound with 43% more bass. Supports AAC high-quality audio decoding.
3,43.61,Phone brand 3,,38,pink,49*21*20,57,86,"IPX7 Waterproof: X15 wireless earphones boast IPX7 rated protection that resist daily splashes of water, sweat, rain. Perfect for fitness and travelling."
4,23.8,Tablet brand 1,,58,lime,36*16*13,94,70,"Ergonomic Design and Easy To Carry: X15 bluetooth earbuds are ergonomic and equipped with 3 size eartips, designed for different ear shapes to ensure a comfortable fit. Charging case is small, only 42g and can be easily stowed in your pocket."
5,20.89,Tablet brand 4,,36,purple,33*48*46,3,71,Bluetooth 5.1 and One-Step Pairing: Wireless earbuds have Bluetooth 5.1 will automatically connect to the last paired device when open the lid of charging case. Bluetooth 5.1 provide stable transmission without interruptions.
6,24.41,Headphone brand 4,,35,gray,23*23*41,70,96,"Active Noise Cancellation blocks outside noise, so you can immerse yourself in music"
7,0.79,Monitor brand 4,,2,red,13*16*30,46,70,Transparency mode for hearing and interacting with the world around you
8,6.28,Laptop brand 4,,0,lime,19*32*21,6,86,Spatial audio with dynamic head tracking places sound all around you
9,1.72,Monitor brand 3,,36,cyan,40*39*16,45,50,Adaptive EQ automatically tunes music to your ears
10,91.71,Monitor brand 35,,32,black,51*16*28,13,86,"Three sizes of soft, tapered silicone tips for a customisable fit"
11,0.45,Laptop brand 43,,81,blue,35*23*42,72,46,"Force sensor lets you easily control your entertainment, answer or end calls, and more"
12,9.74,Phone brand 15,,65,purple,7*34*23,75,57,Sweat and water resistant
13,38.32,Camera brand 1,,8,brown,13*23*37,34,82,"Introducing the all new ASUS TUF Dash, the newest member of the gaming family, powered by Intel's latest 11th generation i7-11375H processor"
14,2.18,Monitor brand 11,,21,indigo,50*47*14,78,20,"The ASUS TUF Dash comes fully equipped with the latest and greatest technology, including the brand new Nvidia GeForce RTX 3060 graphics"
15,51.57,Headphone brand 14,,11,cyan,6*20*35,39,85,The ASUS TUF Dash has a 15.6 inch 144Hz 3ms Full HD IPS display for amazing visuals
16,40.05,Phone brand 310,,10,black,28*10*5,42,18,"Cooling is at the heart of this gaming laptop, with a comprehensive cooling system focused on long-term reliability. Five heatpipes draw warmth away from the CPU, GPU, VRM and VRAM and dissipate it quickly through four heatsinks and fan outlets, keeping component temperatures at optimum levels."
17,17.03,Phone brand 237,,43,cyan,27*54*52,22,16,"Free upgrade to Windows 11, once available"
18,41.45,Headphone brand 211,,19,red,10*19*9,100,12,"EXCELLENT QUALITY - Longlasting and reliable technology (compatible with hearing-aids), Made in Germany"
19,10.85,Camera brand 358,,27,white,13*21*20,68,63,PLAIN & SIMPLE - Reliable DECT landline phone with big illuminated graphical display which ensures easy readability and handling
20,25.49,Laptop brand 436,,50,white,25*37*40,10,74,"CONVENIENT FEATURES - Hands-free talking / ""Do not disturb""-Button / Answering machine with up to 25 minutes recording time / Phonebook for up to 80 entries / Display of Caller-ID"
21,53.3,Pc brand 227,,37,purple,18*40*55,12,52,ECO-FRIENDLY TECHNOLOGY - Long talk and standby time (up to 18 hours/200 hours) due to energy-saving power supply
22,1.31,Camera brand 414,,5,green,17*37*41,75,34,"QUICK AND EASY INSTALLATION - Unpack, plug in and start making calls! It has never been easier"
23,68.04,Printer brand 356,,84,black,32*48*25,58,6,Turn any room into a meeting room: Ideal for one-on-one or small group conference calls with coverage of up to 4 people — Compatible with leading Unified Communication (UC) platforms
24,14.63,Monitor brand 354,,19,orange,37*29*36,0,60,"Conference calls with exceptional sound quality and voice control — Conversations are crystal clear thanks to the 360-degree microphone, built-in echo cancellation, call control and touch buttons"
25,71.85,Tablet brand 115,,9,pink,12*52*18,31,28,"Fully optimized portable speaker for more mobility and the best user experience - simply plug the speaker into your computer with a USB port or connect it via Bluetooth to your smartphone, tablet or headset"
26,8.1,Phone brand 182,,49,indigo,10*12*18,36,0,Award-winning conference speaker: Recognized #1 for sound quality (voice and music) and #1 for design by the 2013 Red Dot Design Award
27,13.84,Laptop brand 400,,8,lime,16*27*39,16,25,"Scope of delivery: 1 x Jabra Speak 510, Lithium-ion Battery Included, Travel Case, Quick Start Guide Brochure - 120mm Diameter and 33mm Height - Colour: Black - 2 Year Warranty"
28,42.34,Printer brand 300,,2,lime,18*33*14,62,71,"Quality Throughout: Built adventure-tier tough with superior durability and scratch resistance, Anker 313 Power Bank is premium both inside and out."
29,48.37,Phone brand 212,,42,teal,39*24*49,38,7,"Slim Size, Big Power: One of the slimmest and lightest 10,000mAh portable chargers on the market. Provides 2.25 charges for iPhone 12, 1.6 charges for Galaxy S20 and 1.2 charges for iPad mini 5."
30,49.38,Monitor brand 211,,7,cyan,51*18*31,36,7,"Versatile Charging: Anker's exclusive PowerIQ and VoltageBoost technology combine to detect and deliver a tailored charge up to 12W, while the trickle-charging mode is the best way to charge low-power devices."
31,33.91,Pc brand 144,,17,white,35*30*7,29,80,"Superior Safety: Anker’s comprehensive MultiProtect safety system includes overcharge protection, short circuit protection, temperature control, and more."
32,0.1,Camera brand 324,,10,black,35*13*36,98,39,"What You Get: Anker 313 Power Bank (PowerCore 10K), Micro USB cable (USB-C cable and Lightning cable not included), travel pouch, welcome guide, lifetime* $25,000 connected equipment warranty, and friendly customer service."
33,46.13,Tablet brand 136,,47,purple,9*53*38,89,44,"It's 5 in one Multifunctional Bedside Lamp Bluetooth Speaker Alarm Clock: Bluetooth 4.0 Hifi Speaker + Touch Sensor Beside Lamp + Digital Alarm Clock + MP3 Player + Hands Free Call! Perfect Christmas Gifts choice for teenage girls, family or friends for Birthday, Anniversary, Christmas etc. Birthday gifts for her."
34,2.26,Tablet brand 311,,32,white,11*20*7,79,26,"The night light alarm clock speaker enhanced passive low-frequency radiator provides solid bass without distortion. The led bluetooth speaker light is with built-in microphone, frees your hands while calling. Compatible with all bluetooth devices, also support AUX line-in, micro SD card, USB flash drive. Music streams clearly and flawlessly from your phone, PC or tablet and you can enjoy your favorite songs anywhere and anytime."
35,19.47,Laptop brand 476,,51,purple,41*55*36,8,23,"The dimmable touch sensor bedside lamp emits soft warm white lights with 3-level brightness and 48 romantic dynamic colorful lights. You can easily switch the warm white light mode and a rich blend of vibrant colors light mode according to your mood by tapping the top of the mesh net. Easy to reach in darkness. You will have fun when you keep touching it! Perfect for bedrooms, living rooms, and hallways, modern offices, etc."
36,28.15,Phone brand 224,,21,brown,50*43*22,56,84,"It is very easy to set your own alarm sound by choosing your favorite song in MP3 format via USB flash drive or micro SD card. How fantastic to wake up with your favorite song in the morning and start a new lovely day! And the time LED display is large enough, you can switch the 12H/24H easily."
37,0.18,Headphone brand 200,,13,teal,55*39*10,24,69,"Presents for teenage girls boys. The bluetooth alarm clock comes with our tailor-made mesh bag, you can taking the Bluetooth speaker clock lamp to camping,hiking, party and so on.The speaker lamp can provides lighting and music for outdoor activities."
38,7.15,Monitor brand 397,,21,brown,33*49*12,50,24,"Share photos and videos easily and instantly with your loved ones: With the Pix Star picture frame, you can instantly share your favourite moments with friends and family wherever you are. Simply send the photos, videos, or audio messages from your email or the Pix Star SNAP app, which is compatible with iOS or Android. The photo frame also syncs with photo platforms like Instagram, Facebook, and many others"
39,0.18,Pc brand 424,,22,black,11*41*12,28,89,Intelligent Motion Sensor: The energy-saving photo frame has a built-in intelligent motion sensor. It automatically displays photos when you walk by thanks to its motion sensor. The user can instantly enjoy the photos sent by their family and friends
40,39.7,Headphone brand 135,,3,red,30*27*9,57,25,"Easy to set up and use: Unpack, connect to WiFi in less than a minute and start sharing! With the included remote control, you can easily control the frame without leaving fingerprints. Your Pix Star screen is unique on the market. It is anti-reflective, matt for optimal viewing quality and in 4:3 format to display your photos without black stripes on the sides"
41,31.73,Headphone brand 486,,62,blue,7*7*12,20,82,"Free lifetime storage: Pix Star offers you a free online account with unlimited storage for your photos. It offers the possibility to control multiple photo frames remotely. You can easily add, delete, and sort your photos into albums and manage your contacts - as needed"
42,8.86,Printer brand 312,,65,brown,42*50*24,20,78,"2-year warranty and additional options: The frame is pre-programmed with hundreds of internet radio stations and offers a calendar, notifications, calculator, music, and games. Benefit from a picture frame that combines power, beauty, and simplicity. Its warranty is 2 years. For more information, please contact us"
43,42.51,Laptop brand 353,,8,yellow,23*31*30,39,65,Expand your view to the 6.6-inch Infinity-V Display of Galaxy A22 5G and see what you've been missing
44,10.41,Tablet brand 342,,35,white,41*37*38,84,28,"On the next-generation mobile data network, the power of 5G fast speeds changes the way you experience and share content"
45,34.67,Pc brand 19,,25,green,44*31*5,99,8,"5,000mAh (typical) battery lets you keep doing what you do, for hours on end. And with up to 15W of Adaptive Fast Charging, Galaxy A22 5G quickly gets back to full power"
46,34.47,Phone brand 324,,12,red,52*11*10,44,48,The Galaxy A22 5G combines Octa-core processing power with up to 4GB of RAM for fast and efficient performance for the task at hand. Enjoy 64GB of internal storage or add even more space with up to 1TB microSD card
47,8.98,Pc brand 11,,5,cyan,17*31*8,11,12,"Get the latest Google apps on Android OS, fully supported on your Galaxy A22 5G"
48,23.42,Pc brand 15,,27,brown,28*23*27,57,89,"Versatile Item Finder: keep track of the items that matter most, find your keys, wallet and more with the AirTag bluetooth item finder"
49,11.36,Printer brand 37,,20,red,34*55*52,63,54,"Simple Set-up: a one-tap setup instantly connects AirTag with your iPhone or iPad. Enter a name for your AirTag, attach it to the item you want to track and you’re good to go"
50,1,Tablet brand 16,,24,white,51*15*13,68,46,"Ping it. Find it: Play a sound on the built-in speaker to help find your keys and other things, or just ask Siri for help"